,word1,word2,freq
0,폭발,화재,28214
1,공기,폭발,25372
2,폭발,화염,25102
3,폭발,혼합물,24311
4,스파크,폭발,23154
5,폭발,형성,23048
6,증기,폭발,22679
7,점화,폭발,22405
8,이동,폭발,21915
9,불꽃,폭발,21432
10,가스,폭발,21109
11,분진,폭발,20813
12,연소,폭발,20767
13,접촉,폭발,20763
14,방출,폭발,20673
15,밀폐,폭발,20617
16,분진,화재,20187
17,분진,점화,20127
18,가연성,폭발,20119
19,분진,형성,20102
20,공기,분진,20094
21,분진,스파크,20030
22,분진,혼합물,20028
23,고체,분진,19980
24,분진,이동,19964
25,밀폐,분진,19960
26,분진,수송,19957
27,분진,장소,19956
28,분진,연무,19955
29,분진,피해,19944
30,분진,불꽃,19929
31,분진,통풍,19928
32,분진,정전기,19910
33,난류,분진,19908
34,분진,연소,19908
35,배기가스,분진,19890
36,방사,분진,19881
37,분진,추가,19820
38,분진,장비,19806
39,분진,접지,19772
40,공장,분진,19768
41,결합,분진,19761
42,분진,설비,19759
43,분진,처리,19759
44,분진,파우더,19755
45,기와,분진,19750
46,분쇄기,분진,19750
47,건조기,분진,19750
48,분진,손상,19738
49,보호,분진,19737
50,분진,초기,19711
51,기계,분진,19706
52,분진,위력,19701
53,분진,파괴,19701
54,분진,압력,19688
55,분진,상승,19684
56,분진,접촉,19681
57,가연성,분진,19673
58,분진,폭발력,19653
59,건물,분진,19652
60,분진,화염,19638
61,분진,차로,19561
62,분진,충격파,19561
63,가스,분진,19551
64,인화,폭발,19511
65,분진,속도,19483
66,가동,분진,19413
67,분진,축적,19342
68,분진,연쇄반응,19322
69,분진,주요,19281
70,마이크론,분진,19168
71,분진,입자,19155
72,분진,확산,19151
73,분진,하의,19125
74,분진,증기,18993
75,방출,분진,18922
76,압력,폭발,18867
77,농도,분진,18744
78,분진,최소,18741
79,분진,상한,18737
80,분진,유기,18707
81,고온,분진,18660
82,고체,폭발,18605
83,분진,적용,18461
84,분진,예측,18461
85,장소,폭발,18448
86,폭발,피해,18412
87,통풍,폭발,18405
88,연무,폭발,18386
89,분진,작업,18372
90,분진,형태,18312
91,미세,분진,18309
92,초기,폭발,18282
93,추가,폭발,18258
94,상승,폭발,18254
95,공장,폭발,18211
96,손상,폭발,18200
97,설비,폭발,18186
98,폭발,폭발력,18158
99,방법,분진,18142
100,분진,실용,18139
101,분진,원칙,18139
102,건물,폭발,18137
103,충격파,폭발,18069
104,차로,폭발,18029
105,축적,폭발,18015
106,고압,분진,18007
107,기계,폭발,18005
108,가공,분진,17991
109,수송,폭발,17970
110,파괴,폭발,17963
111,분진,인화,17954
112,분진,질의,17951
113,분진,진행,17951
114,본질,분진,17951
115,위력,폭발,17907
116,대전,분진,17905
117,분진,정적,17905
118,연쇄반응,폭발,17834
119,입자,폭발,17740
120,폭발,확산,17715
121,마이크론,폭발,17700
122,폭발,하의,17682
123,주요,폭발,17376
124,작업,폭발,17020
125,파우더,폭발,16993
126,정전기,폭발,16898
127,난류,폭발,16865
128,방사,폭발,16850
129,배기가스,폭발,16844
130,장비,폭발,16804
131,처리,폭발,16773
132,결합,폭발,16751
133,기와,폭발,16737
134,미립,분진,16736
135,접지,폭발,16733
136,보호,폭발,16728
137,분쇄기,폭발,16728
138,건조기,폭발,16728
139,속도,폭발,16524
140,가동,폭발,16431
141,분말,분진,16364
142,분진,표면,15985
143,분진,성질,15934
144,구조,분진,15912
145,유기,폭발,15750
146,폭발,형태,15739
147,농도,폭발,15655
148,분진,샘플,15492
149,최소,폭발,15482
150,고온,폭발,15472
151,상한,폭발,15456
152,분진,영향,15318
153,분진,수분,15301
154,미세,폭발,15284
155,적용,폭발,15226
156,예측,폭발,15202
157,가열,폭발,15196
158,분진,제조,15082
159,방법,폭발,14944
160,원칙,폭발,14904
161,실용,폭발,14904
162,용기,폭발,14846
163,고압,폭발,14792
164,본질,폭발,14767
165,가공,폭발,14766
166,진행,폭발,14759
167,질의,폭발,14745
168,정적,폭발,14692
169,대전,폭발,14680
170,발행,분진,14366
171,미립,폭발,13593
172,분말,폭발,13456
173,분진,초과,13145
174,폭발,표면,13111
175,성질,폭발,12902
176,구조,폭발,12825
177,수분,폭발,12480
178,샘플,폭발,12455
179,영향,폭발,12392
180,제조,폭발,12128
181,발화,폭발,11920
182,발행,폭발,11423
183,초과,폭발,10927
184,분진,한계,10516
185,위험성,폭발,9702
186,분해,폭발,9560
187,기체,분진,8974
188,점화,화재,8531
189,연무,점화,8529
190,연무,형성,8443
191,공기,연무,8440
192,폭발,한계,8435
193,연무,화재,8432
194,고체,연무,8370
195,설비,연무,8367
196,공장,연무,8360
197,연무,혼합물,8334
198,스파크,연무,8327
199,밀폐,연무,8318
200,연무,피해,8317
201,연무,장소,8314
202,연무,통풍,8302
203,불꽃,연무,8301
204,연무,추가,8301
205,손상,연무,8277
206,연무,초기,8263
207,가스,연무,8213
208,압력,연무,8207
209,상승,연무,8203
210,건물,연무,8199
211,연무,폭발력,8199
212,연무,충격파,8163
213,연무,연소,8156
214,연무,차로,8153
215,기계,연무,8134
216,연무,위력,8121
217,연무,파괴,8121
218,연무,축적,8081
219,마이크론,연무,8064
220,연무,연쇄반응,8057
221,공기,점화,8045
222,연무,확산,8013
223,연무,입자,8013
224,연무,주요,8011
225,연무,하의,8003
226,연무,화염,7944
227,연무,작업,7885
228,연무,정전기,7869
229,수송,연무,7858
230,연무,이동,7853
231,난류,연무,7820
232,배기가스,연무,7819
233,방사,연무,7817
234,연무,접촉,7812
235,연무,장비,7797
236,가연성,연무,7790
237,기와,연무,7778
238,연무,접지,7778
239,건조기,연무,7778
240,분쇄기,연무,7778
241,연무,처리,7778
242,결합,연무,7777
243,점화,증기,7770
244,보호,연무,7765
245,연무,파우더,7764
246,기체,폭발,7763
247,형성,화재,7675
248,방출,연무,7674
249,속도,연무,7663
250,가동,연무,7647
251,연무,증기,7640
